key,en,es,zh
<!MissingKey:小喷菇：“我是最近才知道僵尸的事情。和很多蘑菇一样，我只是把他们想象成童话和电影里的怪物。不过这次的经历已经让我大开眼界了。”>,,,小喷菇：“我是最近才知道僵尸的事情。和很多蘑菇一样，我只是把他们想象成童话和电影里的怪物。不过这次的经历已经让我大开眼界了。”
TOWERDEFENSE_PLANT_SUNMINE_HANDBOOK_EXPRESTION,,,"韧性：[color=cc241d]300[/color]
威力：[color=cc241d]1800[/color]
范围：[color=cc241d]单格[/color]
特点：[color=cc241d]单独使用，需要15秒准备时间，爆炸后获得50阳光[/color]"
TOWERDEFENSE_PLANT_SUNMINE_CUSTOM_1_ACCESS,,,每日挑战 2025/7月 累计完成21天
TOWERDEFENSE_PLANT_CORNTROP_EXPRESTION,,,爆胎与黄油玉米的艺术。
TOWERDEFENSE_ZOMBIE_SNOWPEA_HANDBOOK_EXPRESTION,,,"血量：[color=cc241d]270[/color]
伤害：[color=cc241d]100/s（啃食） + 20x1/次（射击）[/color]
佩戴：[color=cc241d]----[/color]
类型：[color=cc241d]小型僵尸[/color]
速度：[color=cc241d]慢[/color]
特点：[color=cc241d]当前方有非低矮植物时每次能发射1颗寒冰豌豆攻击并减速你的植物[/color]"
TOWERDEFENSE_READYSETPLANTS_READY,Ready..,Ready..,准备..
TOWERDEFENSE_PLANT_SQUASH_EXPRESTION,,,窝瓜会压扁第一个接近它的僵尸
SHOP_NPC_TALK_PLANT_QUEENSUNFLOWER_CUSTOM_0,,,向日葵女王的皮肤！你可以在图鉴装扮你的植物！
LOAD_COLLECTABLE,Load collectable,Load collectable,加载收集物
SHOP_NPC_TALK_SUNCOLLECT,,,阳光手套，能帮你自动拾取场上的阳光！
TOWERDEFENSE_ZOMBIE_GATLINGDOLPHINRIDER_EXPRESTION,,,机枪海豚僵尸归来了，所有僵尸——都闪开！
SHOP_NPC_TALK_PLANT_WINTERMELONGSHROOM_CUSTOM_0,,,冰瓜大喷菇的皮肤！你可以在图鉴装扮你的植物！
TOWERDEFENSE_PLANT_SUNPAD_EXPRESTION,,,睡莲多面手，生产阳光、温暖植物、灼烧僵尸！
TOWERDEFENSE,Defense,Defense,塔防
TOWERDEFENSE_PLANT_PUMPKINFIREICE_NAME,Ice Flame Pumpkin Head,Ice Flame Pumpkin Head,冰焰南瓜头
TOWERDEFENSE_ZOMBIE_DANCERFIRE_HANDBOOK_STORY,,,火焰舞者正值青春期，他们的胡子是贴上去的。他们为了衬托领舞的黄火，把自己的火焰改成了绿色。“其实我不是很想把这玩意染成绿的！”
LEVEL1_5_BROADCAST_1,,,一直挖吧，直到你的场地上没有植物！
